p = 0.20, q = 0.03, eq_value = 0.0000
p = 0.21, q = 0.03, eq_value = 0.0000
p = 0.22, q = 0.03, eq_value = 0.0000
p = 0.23, q = 0.03, eq_value = 0.0000
p = 0.24, q = 0.03, eq_value = 0.0000
p = 0.25, q = 0.03, eq_value = 0.0000
p = 0.26, q = 0.03, eq_value = 0.0000
p = 0.27, q = 0.03, eq_value = 0.0000
p = 0.28, q = 0.03, eq_value = 0.0000
p = 0.29, q = 0.03, eq_value = 0.0000
p = 0.30, q = 0.03, eq_value = 0.0000
p = 0.31, q = 0.03, eq_value = 0.0000
p = 0.32, q = 0.03, eq_value = 0.0000
p = 0.33, q = 0.03, eq_value = 0.0000
p = 0.34, q = 0.03, eq_value = 0.0000
p = 0.35, q = 0.03, eq_value = 0.0000
p = 0.36, q = 0.03, eq_value = 0.0000
p = 0.37, q = 0.03, eq_value = 0.0000
p = 0.38, q = 0.03, eq_value = 0.0000
p = 0.39, q = 0.03, eq_value = 0.0000
p = 0.40, q = 0.03, eq_value = 0.0000
p = 0.41, q = 0.03, eq_value = 0.0000
p = 0.42, q = 0.03, eq_value = 0.0000
p = 0.43, q = 0.03, eq_value = 0.0000
p = 0.44, q = 0.03, eq_value = 0.0000
p = 0.45, q = 0.03, eq_value = 0.0000
p = 0.46, q = 0.03, eq_value = 0.0000
p = 0.47, q = 0.03, eq_value = 0.0000
p = 0.48, q = 0.03, eq_value = 0.0000
p = 0.49, q = 0.03, eq_value = 0.0000
p = 0.50, q = 0.03, eq_value = 0.0000
p = 0.51, q = 0.03, eq_value = 0.0000
p = 0.52, q = 0.03, eq_value = 0.0000
p = 0.53, q = 0.03, eq_value = 0.0000
p = 0.54, q = 0.03, eq_value = 0.0000
p = 0.55, q = 0.03, eq_value = 0.0000
p = 0.56, q = 0.03, eq_value = 0.0000
p = 0.57, q = 0.03, eq_value = 0.0001
p = 0.58, q = 0.03, eq_value = 0.0005
p = 0.59, q = 0.03, eq_value = 0.0030
p = 0.60, q = 0.03, eq_value = 0.0151
p = 0.61, q = 0.03, eq_value = 0.0461
p = 0.62, q = 0.03, eq_value = 0.1067
p = 0.63, q = 0.03, eq_value = 0.1843
p = 0.64, q = 0.03, eq_value = 0.2466
p = 0.65, q = 0.03, eq_value = 0.3056
p = 0.66, q = 0.03, eq_value = 0.3523
